timestamp,inside_temp,outside_temp,cooling_level,mode
2026-08-28 17:18:19.771153,4.65,,0,ML_CONTROL
2026-08-28 17:18:24.472606,5.76,,0,ML_CONTROL
2026-08-28 17:18:29.485029,4.38,,0,ML_CONTROL
2026-08-28 17:18:34.478387,4.62,,0,ML_CONTROL
2026-08-28 17:18:39.483498,5.55,,0,ML_CONTROL
2026-08-28 17:18:44.483791,4.99,,0,ML_CONTROL
2026-08-28 17:18:49.487189,5.66,,0,ML_CONTROL
2026-08-28 17:18:54.491039,4.82,,0,ML_CONTROL
2026-08-28 17:18:59.493219,4.68,,0,ML_CONTROL
2026-08-28 17:19:04.524242,4.58,,0,ML_CONTROL
2026-08-28 17:19:09.496404,5.33,,0,ML_CONTROL
2026-08-28 17:19:14.500194,4.25,,0,ML_CONTROL
2026-08-28 17:19:19.501167,5.77,,0,ML_CONTROL
2026-08-28 17:19:24.501276,4.65,,0,ML_CONTROL
2026-08-28 17:19:29.505637,5.66,,0,ML_CONTROL
2026-08-28 17:19:34.505083,4.37,,0,ML_CONTROL
2026-08-28 17:19:39.509116,5.32,,0,ML_CONTROL
2026-08-28 17:19:44.510096,4.53,,0,ML_CONTROL
2026-08-28 17:19:49.511069,4.41,,0,ML_CONTROL
2026-08-28 17:19:54.515400,5.63,,0,ML_CONTROL
2026-08-28 17:19:59.515214,4.72,,0,ML_CONTROL
2026-08-28 17:20:04.524055,4.37,,0,ML_CONTROL
2026-08-28 17:20:09.521118,4.69,,0,ML_CONTROL
2026-08-28 17:20:14.524052,5.22,,0,ML_CONTROL
2026-08-28 17:20:19.526101,5.69,,0,ML_CONTROL
2026-08-28 17:20:24.530096,5.36,,0,ML_CONTROL
2026-08-28 17:20:29.530557,4.35,,0,ML_CONTROL
2026-08-28 17:20:34.534159,4.96,,0,ML_CONTROL
2026-08-28 17:20:39.534112,4.03,,0,ML_CONTROL
2026-08-28 17:20:44.538453,5.32,,0,ML_CONTROL
